Archivo,ROI,Media_basal,Std_basal,Umbral,N_eventos_pre_peak,Amplitud_promedio_eventos,Amplitud_maxima_eventos,Tipo,Observaciones
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI10,-1.746941201402136e-05,0.001874678157769,0.0033569512719702,1.0,0.0649053371257424,0.0649053371257424,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI11,0.0002464470549577,0.0003285960732769,0.0008379199868561,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI12,-0.0001100240732671,0.0085102363907103,0.0152084014300115,1.0,0.3485210564071419,0.3485210564071419,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI14,1.00269394285758e-06,0.0030500847526074,0.0054911552486361,1.0,0.2159649390816554,0.2159649390816554,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI15,2.182643617950803e-05,0.0012135874827832,0.0022062839051894,1.0,0.0029574821023223,0.0029574821023223,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI18,-2.019102004129717e-06,0.0028653453233299,0.0051556024799897,1.0,0.2944389484756437,0.2944389484756437,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI19,-2.735244722300579e-06,0.0010765350685408,0.0019350278786512,1.0,0.0027434504565123,0.0027434504565123,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI2,-5.179742808428343e-06,0.0028755517323018,0.0051708133753348,2.0,0.128053761935045,0.2504363013279654,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI22,-3.002092348361087e-06,0.0047531535010208,0.0085526742094891,1.0,0.2691788669668945,0.2691788669668945,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI23,-4.856883823341902e-05,0.0009886685596124,0.0017310345690689,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI26,3.752460486862684e-06,0.0048480786765232,0.0087302940782286,1.0,0.5242791614415755,0.5242791614415755,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI27,3.250922449253875e-05,0.0015591752885815,0.0028390247439394,1.0,0.0080785422863737,0.0080785422863737,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI3,-0.0001039290656776,0.0009664422015299,0.0016356668970761,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI30,-1.92967107452482e-06,0.0037666264795333,0.0067779979920854,1.0,0.2527827870572885,0.2527827870572885,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI31,4.859401321751267e-05,0.0016093497349167,0.0029454235360675,1.0,0.0079532201632758,0.0079532201632758,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI34,-6.664598664770886e-06,0.0049920931335753,0.0089791030417709,1.0,0.4297372292324642,0.4297372292324642,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI35,-5.976734203764658e-05,0.0015877263079386,0.0027981400122519,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI38,-1.147460488843891e-05,0.0038829544717942,0.0069778434443411,1.0,0.112846118541961,0.112846118541961,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI39,3.232479958619842e-05,0.0019642240454462,0.0035679280813895,1.0,0.0039759503491078,0.0039759503491078,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI40,-4.292793013778209e-05,0.0109586345971701,0.0196826143447684,1.0,0.6680996418584115,0.6680996418584115,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI42,-1.688558715429239e-06,0.0020063620894545,0.0036097632023027,2.0,0.0760553744872235,0.1480773339863994,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI43,1.629142093776379e-05,0.0010437300393493,0.0018950054917666,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI44,-1.305670527100399e-05,0.0058505414886028,0.0105179179742141,1.0,0.8958466620532974,0.8958466620532974,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI46,5.210423393289346e-06,0.0057167532727761,0.0102953663143903,1.0,0.933886066783686,0.933886066783686,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI47,1.081706716851953e-05,0.0012372345418125,0.0022378392424311,1.0,0.0084102697235698,0.0084102697235698,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI6,-7.03294099681113e-07,0.002303819356379,0.0041461715473826,1.0,0.1807191242452031,0.1807191242452031,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
