Archivo,ROI,UMAP1,UMAP2,Media_basal,Std_basal,Umbral,N_eventos_pre_peak,Duracion_promedio_eventos,Amplitud_promedio_eventos,Amplitud_maxima_eventos
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,7.669929,-2.4587293,-1.147460488843891e-05,0.00388295447179424,0.006977843444341193,1,2.0,0.112846118541961,0.112846118541961
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,12.398833,-1.573119,3.232479958619842e-05,0.001964224045446299,0.003567928081389536,1,2.0,0.003975950349107835,0.003975950349107835
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,4.105995,-3.0975308,2.528956552530955e-05,0.01433295103425389,0.02582460142718231,1,3.0,2.087426028020839,2.087426028020839
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,4.2981873,-3.6740282,-4.292793013778209e-05,0.0109586345971701,0.01968261434476841,1,2.0,0.6680996418584115,0.6680996418584115
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.0179863,-20.900452,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,12.051081,-1.4003984,-1.688558715429239e-06,0.002006362089454528,0.003609763202302721,2,3.5,0.07605537448722356,0.1480773339863994
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-6.824251,-22.723547,1.629142093776379e-05,0.001043730039349388,0.001895005491766661,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,3.7005002,-2.7120357,-1.305670527100399e-05,0.005850541488602867,0.01051791797421416,1,5.0,0.8958466620532974,0.8958466620532974
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.6019716,-21.045341,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,3.650684,-2.635431,5.210423393289346e-06,0.005716753272776134,0.01029536631439033,1,5.0,0.9338860667836859,0.9338860667836859
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,8.994716,-3.1969922,1.081706716851953e-05,0.001237234541812577,0.002237839242431158,1,2.0,0.00841026972356985,0.00841026972356985
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,3.504553,-3.1886785,-0.0001154186211612064,0.02084752219410576,0.03741012132822917,1,4.0,3.574286037831175,3.574286037831175
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-6.8792996,-20.384422,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,8.269894,-2.007469,-7.03294099681113e-07,0.002303819356379054,0.004146171547382617,1,4.0,0.1807191242452031,0.1807191242452031
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.0491214,-22.703707,-9.024086106184404e-05,0.001098020108745789,0.001886195334680576,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.1893125,-20.593872,0.0,0.0,0.0,0,0.0,0.0,0.0
Results_15DIV_double-sequential-ASX11_w1Channel-B,,8.401167,-2.8522775,-9.17234097567047e-06,0.002627955547083902,0.004721147643775353,1,2.0,0.0158882535789363,0.0158882535789363
Results_15DIV_double-sequential-ASX11_w1Channel-B,,8.829639,-3.3237324,-5.603544671956657e-06,0.001889328264813728,0.003395187331992754,1,2.0,0.01370365318418714,0.01370365318418714
Results_15DIV_double-sequential-ASX21_w1Channel-B,,-5.971349,-22.105015,0.001633229488414034,0.001003991626648716,0.003440414416381723,0,0.0,0.0,0.0
Results_15DIV_double-sequential-ASX21_w1Channel-B,,11.315435,-0.8605414,-7.690491302180157e-06,0.002542406022476755,0.004568640349155979,2,6.0,0.00652745399373139,0.007560029755437859
Results_15DIV_double-sequential-ASX21_w1Channel-B,,-6.3483644,-22.411737,0.0007291911238608953,0.001718629009072344,0.003822723340191115,0,0.0,0.0,0.0
Results_15DIV_double-sequential-ASX21_w1Channel-B,,12.80093,-1.1089556,-4.354118809848986e-06,0.00434002050646703,0.007807682792830805,2,2.0,0.06578328040008609,0.1232752749116827
Results_15DIV_double-sequential-ASX21_w1Channel-B,,7.2734075,-2.6915011,2.513363546636395e-06,0.005506734944705313,0.0099146362640162,1,2.0,0.0109748180903672,0.0109748180903672
Results_15DIV_double-sequential-ASX21_w1Channel-B,,8.17665,-2.5076094,2.355715796463747e-06,0.002934804929810287,0.00528500458945498,1,3.0,0.08943329311710156,0.08943329311710156
Results_15DIV_double-sequential-ASX21_w1Channel-B,,5.5098166,-3.2364287,0.003085435930335091,0.00920866596916158,0.01966103467482594,1,2.0,0.01950613441094796,0.01950613441094796
