Archivo,ROI,Frame_peak,Media_basal,Std_basal,Umbral,N_candidatos,N_eventos_pre_peak,Duracion_promedio_eventos,Duracion_maxima_eventos,Amplitud_promedio_eventos,Amplitud_maxima_eventos,Frame_primer_evento,Frame_ultimo_evento,Distancia_primer_evento_al_peak,Clase_futura
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI27,139,3.250922449253875e-05,0.001559175288581592,0.002839024743939404,4,1,3,3,0.008078542286373759,0.008078542286373759,136,138,3,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI28,139,-0.0001640064268280856,0.01719812934661722,0.03079262639708291,4,1,4,4,2.663956390969084,2.663956390969084,135,138,4,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI29,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI3,137,-0.0001039290656776771,0.0009664422015299012,0.001635666897076145,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI30,137,-1.92967107452482e-06,0.003766626479533319,0.00677799799208545,3,1,3,3,0.2527827870572885,0.2527827870572885,134,136,3,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI31,138,4.859401321751267e-05,0.00160934973491671,0.002945423536067591,4,1,3,3,0.007953220163275885,0.007953220163275885,135,137,3,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI32,137,2.907304238484223e-05,0.01674136665353722,0.03016353301875184,3,1,3,3,1.271266021971952,1.271266021971952,134,136,3,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI33,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI34,138,-6.664598664770886e-06,0.004992093133575392,0.008979103041770936,4,1,3,3,0.4297372292324642,0.4297372292324642,135,137,3,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI35,137,-5.976734203764658e-05,0.001587726307938653,0.00279814001225193,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI36,139,-7.206727757541193e-05,0.01912210472233923,0.03434772122263521,5,1,4,4,2.683901833280669,2.683901833280669,135,138,4,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI37,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI38,136,-1.147460488843891e-05,0.00388295447179424,0.006977843444341193,3,1,2,2,0.112846118541961,0.112846118541961,134,135,2,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI39,137,3.232479958619842e-05,0.001964224045446299,0.003567928081389536,3,1,2,2,0.003975950349107835,0.003975950349107835,3,4,134,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI4,138,2.528956552530955e-05,0.01433295103425389,0.02582460142718231,4,1,3,3,2.087426028020839,2.087426028020839,135,137,3,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI40,136,-4.292793013778209e-05,0.0109586345971701,0.01968261434476841,2,1,2,2,0.6680996418584115,0.6680996418584115,134,135,2,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI41,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI42,138,-1.688558715429239e-06,0.002006362089454528,0.003609763202302721,7,2,3.5,5,0.07605537448722356,0.1480773339863994,20,137,118,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI43,137,1.629142093776379e-05,0.001043730039349388,0.001895005491766661,2,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI44,138,-1.305670527100399e-05,0.005850541488602867,0.01051791797421416,5,1,5,5,0.8958466620532974,0.8958466620532974,133,137,5,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI45,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI46,138,5.210423393289346e-06,0.005716753272776134,0.01029536631439033,5,1,5,5,0.9338860667836859,0.9338860667836859,133,137,5,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI47,137,1.081706716851953e-05,0.001237234541812577,0.002237839242431158,3,1,2,2,0.00841026972356985,0.00841026972356985,135,136,2,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI48,138,-0.0001154186211612064,0.02084752219410576,0.03741012132822917,4,1,4,4,3.574286037831175,3.574286037831175,134,137,4,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI5,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI6,138,-7.03294099681113e-07,0.002303819356379054,0.004146171547382617,5,1,4,4,0.1807191242452031,0.1807191242452031,134,137,4,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI7,9,-9.024086106184404e-05,0.001098020108745789,0.001886195334680576,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI9,31,0,0,0,0,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI1,2,0.006675281254668911,,,0,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI2,2,0.007539128229375849,,,0,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI3,2,0.007521214439112881,,,0,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI4,2,0.007514797638467342,,,0,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI5,145,-9.17234097567047e-06,0.002627955547083902,0.004721147643775353,2,1,2,2,0.0158882535789363,0.0158882535789363,143,144,2,
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI6,2,0.005769301275412956,,,0,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI7,144,-5.603544671956657e-06,0.001889328264813728,0.003395187331992754,3,1,2,2,0.01370365318418714,0.01370365318418714,142,143,2,
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean1,13,0.001633229488414034,0.001003991626648716,0.003440414416381723,0,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean2,163,-7.690491302180157e-06,0.002542406022476755,0.004568640349155979,12,2,6,9,0.00652745399373139,0.007560029755437859,1,162,162,
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean3,2,0.02424315848737748,,,0,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean4,22,0.0007291911238608953,0.001718629009072344,0.003822723340191115,1,0,0,0,0,0,,,,
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean5,148,-4.354118809848986e-06,0.00434002050646703,0.007807682792830805,4,2,2,2,0.06578328040008609,0.1232752749116827,1,147,147,
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean6,47,2.513363546636395e-06,0.005506734944705313,0.0099146362640162,2,1,2,2,0.0109748180903672,0.0109748180903672,1,2,46,
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean7,150,2.355715796463747e-06,0.002934804929810287,0.00528500458945498,3,1,3,3,0.08943329311710156,0.08943329311710156,147,149,3,
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean8,23,0.003085435930335091,0.00920866596916158,0.01966103467482594,2,1,2,2,0.01950613441094796,0.01950613441094796,1,2,22,
