condition,mouse,FOV,day,sample_id,source_file,roi_index,roi_label,roi_x,roi_y,n_frames,mean_signal,std_signal,min_signal,max_signal,baseline_center,threshold,n_events,mean_event_duration,max_event_duration,mean_event_amplitude,max_event_amplitude,auc_above_baseline,peak_frame,peak_value,global_slope,Cluster,PCA1,PCA2,UMAP1,UMAP2
inh,U411,Reg03_z272,d3,inh_U411_Reg03_z272_d3,data_d3.mat,93,ROI93,297.0,802.0,2088,0.20637055679676192,0.24647116320976964,-0.005890489677701495,1.9163340905521693,0.2275599351661127,0.6976623031912901,8,14.375,23.0,1.1371865084890298,1.6887741553860567,140.36870553921867,775.0,1.9163340905521693,-0.00010831494519981733,1,0.10996143,-0.5703637,5.568755,-0.8901558
unresp,V529,Reg03_z149,d5,unresp_V529_Reg03_z149_d5,data_d5.mat,318,ROI318,328.0,950.0,2088,0.0757751188719318,0.054905348943578514,-0.06680261703983548,0.22701944814310518,0.0694851415926574,0.1470841129016311,4,5.0,8.0,0.13350805425848014,0.15753430655044778,7.088421049609098,237.0,0.22701944814310518,0.00015822060974799736,0,-0.30805823,0.3525687,1.0210416,5.9179096
unresp,T644,Reg02_z129,d9,unresp_T644_Reg02_z129_d9,data_d9.mat,122,ROI122,483.0,397.0,2088,0.10004621662893756,0.045856361093922667,-0.00750713445827125,0.37450547141099383,0.0961756029871151,0.2131213003520886,3,6.666666666666667,7.0,0.21613054484654967,0.27832986842387875,18.513685252845995,245.0,0.37450547141099383,1.5463660763011944e-05,0,-0.2664079,0.29024336,0.3174716,4.885264
unresp,U861,Reg01_z198,d9,unresp_U861_Reg01_z198_d9,data_d9.mat,228,ROI228,499.0,401.0,2088,0.3456393269026436,0.3972894905850976,0.10276139193734234,1.8335301576970833,0.2048502697480436,0.28962994024551264,2,13.5,18.0,0.9693836594021182,1.6286798879490396,21.270162826934715,36.0,1.8335301576970833,-0.0019949766777907748,0,0.06602581,-0.19369774,3.427491,-0.38092646
inh,U480,Reg01_z270,d3,inh_U480_Reg01_z270_d3,data_d3.mat,37,ROI37,151.0,576.0,2088,0.17098077662090183,0.0642802360276389,0.013488322346616297,0.6140986576662362,0.1588384175915617,0.2846550027141914,8,7.0,11.0,0.2862278613696545,0.45526024007467447,61.48326582774601,682.0,0.6140986576662362,9.238782913718141e-06,0,-0.13846435,0.15684679,4.8618684,3.3745654
inh,U413,Reg03_z234,d7,inh_U413_Reg03_z234_d7,data_d7.mat,112,ROI112,220.0,170.0,2088,0.14325223831935974,0.18291484416806145,-0.032416639916923264,1.293200966410539,0.13477496238046868,0.3341132838791806,2,9.0,11.0,1.0682693457426762,1.1584260040300705,20.23726827262634,13.0,1.293200966410539,-0.00047964413013902574,0,-0.1376668,0.10459264,1.22402,1.8607534
resp,U719,Reg01_z220,d3,resp_U719_Reg01_z220_d3,data_d3.mat,189,ROI189,33.0,668.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,-15.348673,12.173926
resp,U719,Reg02_z194,d3,resp_U719_Reg02_z194_d3,data_d3.mat,260,ROI260,856.0,723.0,2088,0.290649996830381,0.08994044143783711,0.007744629391592999,0.5744408935327137,0.27280265966368183,0.4603512111372453,9,4.555555555555555,9.0,0.25910981087407764,0.3016382338690318,70.64262279454755,824.0,0.5744408935327137,-1.1701850922659915e-05,0,-0.022178054,0.44656312,5.8078923,5.800291
inh,U413,Reg03_z234,d23,inh_U413_Reg03_z234_d23,data_d23.mat,305,ROI305,243.0,613.0,2088,0.1166546064311869,0.06272267177497308,-0.006939775934224318,0.39473304903556594,0.10933779919533418,0.22404271435238615,13,6.230769230769231,11.0,0.18627224585847113,0.2853952498402318,35.526694831643724,905.0,0.39473304903556594,-7.812864864543449e-06,0,-0.21970049,0.07047831,7.905639,3.1087084
unresp,U236,Reg01_z263,d1,unresp_U236_Reg01_z263_d1,data_d1.mat,326,ROI326,992.0,14.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,20.528885,-11.507566
sham,U546,Reg01_z252,d23,sham_U546_Reg01_z252_d23,data_d23.mat,396,ROI396,113.0,945.0,2088,0.09206857699026008,0.032440853474555935,0.00730987907199441,0.17691890430005303,0.07608743934881249,0.15096918134378812,2,5.0,5.0,0.09298768156380081,0.10083146495124054,5.383624586838414,223.0,0.17691890430005303,9.76618785009909e-05,0,-0.3086489,0.45995948,-0.5158825,7.598449
inh,U865,Reg01_z223,d3,inh_U865_Reg01_z223_d3,data_d3.mat,138,ROI138,426.0,248.0,2088,0.10894288017264497,0.09427325096479244,-0.07808209529178838,0.4454478391706208,0.15645706926401715,0.627989779634883,0,,,,,2.299458979586282,10.0,0.4454478391706208,-0.0009133391742190408,0,-0.2497366,0.18490656,14.2897005,11.494203
sham,V529,Reg04_z136,d15,sham_V529_Reg04_z136_d15,data_d15.mat,277,ROI277,590.0,476.0,2088,0.15863948002187445,0.06841268663798253,0.0087549693387681,0.4692025011854207,0.14896175089022634,0.30636846751227675,9,6.333333333333333,14.0,0.246743882675778,0.32024075029519433,53.640416746722046,922.0,0.4692025011854207,1.1562926997581543e-06,0,-0.15808073,0.12166006,5.770414,3.1593215
sham,V529,Reg01_z246,d5,sham_V529_Reg01_z246_d5,data_d5.mat,55,ROI55,864.0,824.0,2088,0.10649416024229086,0.05456037576132917,-0.007237846788117482,0.28917391079585436,0.1038979228988103,0.2007689585561543,5,5.0,11.0,0.13976568420906307,0.18527598789704408,8.08159410798701,197.0,0.28917391079585436,-1.43274217237519e-05,0,-0.27334198,0.3095365,1.9835013,4.958903
unresp,T652,Reg01_z175,d1,unresp_T652_Reg01_z175_d1,data_d1.mat,254,ROI254,110.0,191.0,2088,0.18522625704489096,0.08171935956976215,-0.04417350518766089,0.7633045709843461,0.15826750496649034,0.32161740075006967,13,6.3076923076923075,11.0,0.2996111803368859,0.6050370660178558,84.93071141444487,1878.0,0.7633045709843461,1.6518475758864115e-05,0,-0.09463126,0.11475199,7.9301505,3.1976335
resp,V530,Reg01_z230,d5,resp_V530_Reg01_z230_d5,data_d5.mat,149,ROI149,377.0,584.0,2088,0.1581541140931841,0.08516827463552386,-0.025930617504593054,0.6535806169333057,0.1833180275688498,0.4366043176257136,2,6.0,8.0,0.38189737286951786,0.4702625893644559,49.44724815292446,1176.0,0.6535806169333057,2.282325237754353e-06,0,-0.15929008,0.3879466,1.1840047,6.3857136
sham,U875,Reg01_z284,d15,sham_U875_Reg01_z284_d15,data_d15.mat,248,ROI248,383.0,434.0,2088,0.18240484563002202,0.10434933196303095,-0.021726121286098556,0.6727651507831685,0.21507826521629334,0.376117105094695,3,8.0,11.0,0.34130930825691874,0.4576868855668751,16.171407345948992,539.0,0.6727651507831685,6.419815380369042e-05,0,-0.15183815,0.19617042,1.7236115,2.952305
unresp,U848,Reg01_z149,d3,unresp_U848_Reg01_z149_d3,data_d3.mat,38,ROI38,351.0,893.0,2088,0.14055833989530947,0.06644957140781538,-0.24407726440213517,0.33710009069044666,0.13089893766944094,0.2704080004119893,5,6.0,7.0,0.18991644777741107,0.20620115302100572,55.83481002834004,1006.0,0.33710009069044666,6.49650721183389e-06,0,-0.19307303,0.3169707,2.436141,4.916749
resp,U866,Reg01_z148,d23,resp_U866_Reg01_z148_d23,data_d23.mat,488,ROI488,316.0,960.0,2088,0.11822457855203895,0.028471033484221274,0.06500772461177474,0.17323841810341653,0.11873470792310674,0.1988411495936242,0,,,,,0.5189458962831722,1.0,0.17323841810341653,-0.0007505120995780622,0,-0.27054933,0.20948745,13.041204,13.514101
unresp,U863,Reg01_z182,d3,unresp_U863_Reg01_z182_d3,data_d3.mat,135,ROI135,126.0,128.0,2088,0.31707178005553016,0.7212148688666377,-0.30055265701655953,8.714731198727895,0.12407343136574223,0.3670545623999592,15,19.2,58.0,1.6842157122753034,8.590657767362153,417.68680938230807,1887.0,8.714731198727895,0.00018294085543426824,1,0.7276363,-1.6061434,12.33053,3.746189
resp,U719,Reg01_z177,d15,resp_U719_Reg01_z177_d15,data_d15.mat,342,ROI342,238.0,120.0,2088,0.3072417502604687,0.12825485483987006,0.08937489759911907,0.9335839115566565,0.2393618387990834,0.5843775535461737,1,11.0,11.0,0.6942220727575732,0.6942220727575732,29.26627640313657,134.0,0.9335839115566565,9.242573257932858e-05,0,0.010880984,0.10293581,2.0299718,1.5646094
resp,U719,Reg01_z197,d3,resp_U719_Reg01_z197_d3,data_d3.mat,76,ROI76,56.0,758.0,2088,0.16904399656591038,0.0860559181398571,-0.024245868096882697,0.9008610665922359,0.1533364439726546,0.30450758525557553,13,7.538461538461538,11.0,0.3407929986005992,0.7475246226195813,72.44330099598834,12.0,0.9008610665922359,-5.678946592369845e-06,0,-0.11048928,0.015862046,7.7770452,2.7326345
resp,V530,Reg02_z166,d9,resp_V530_Reg02_z166_d9,data_d9.mat,346,ROI346,750.0,597.0,2088,0.17546590729957848,0.03772366202189397,0.12783369863920568,0.2530948781594898,0.14971931071070183,0.20982499128638343,1,7.0,7.0,0.10337556744878795,0.10337556744878795,0.8388733523125285,26.0,0.2530948781594898,0.003218620563866409,0,-0.16200751,0.37841484,0.21342526,4.011474
inh,U480,Reg02_z193,d7,inh_U480_Reg02_z193_d7,data_d7.mat,215,ROI215,374.0,901.0,2088,0.11385373554288798,0.06164876028442688,-0.04282692892408765,0.36438851917609194,0.11341052614495337,0.3275432316867423,2,5.0,7.0,0.24859470193150301,0.25097799303113855,48.68856703547096,60.0,0.36438851917609194,-1.5952176780943615e-05,0,-0.22851494,0.43633375,-0.3720894,6.9829516
sham,V532,Reg01_z240,d1,sham_V532_Reg01_z240_d1,data_d1.mat,201,ROI201,76.0,234.0,2088,0.1975343808253822,0.1392877542960189,-0.0229901230237785,0.763038589551047,0.17991545800414535,0.33824568133689037,3,7.0,7.0,0.4868582600842126,0.5831231315469017,14.608343144007298,184.0,0.763038589551047,-0.00033457720579768555,0,-0.14694422,0.34348994,1.733646,5.3359513
resp,U849,Reg01_z133,d9,resp_U849_Reg01_z133_d9,data_d9.mat,266,ROI266,902.0,1017.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,-19.09377,9.939727
unresp,T644,Reg01_z133,d11,unresp_T644_Reg01_z133_d11,data_d11.mat,125,ROI125,954.0,945.0,2088,0.21162310453016034,0.08115286034890716,0.0,0.46116085012599506,0.2190296187517265,0.4271767603347606,1,3.0,3.0,0.24213123137426856,0.24213123137426856,23.806818759879977,86.0,0.46116085012599506,-6.40715099773157e-05,0,-0.16380978,0.75915164,2.8370852,9.708591
resp,T476,Reg01_z251,d5,resp_T476_Reg01_z251_d5,data_d5.mat,12,ROI12,162.0,213.0,2088,0.19691796544880555,0.0982106393830782,-0.01566591670127918,0.8374523193771524,0.1688714039536484,0.3148412984158212,23,6.434782608695652,13.0,0.2908132682808333,0.668580915423504,94.0332321958191,1161.0,0.8374523193771524,1.4271211115414126e-05,1,-0.05762178,-0.11208448,11.685659,-0.038145933
inh,U872,Reg01_z122,d15,inh_U872_Reg01_z122_d15,data_d15.mat,317,ROI317,919.0,925.0,2088,0.5167126486166397,0.2521410559171878,0.10701588272767239,1.573574619682853,0.7638408332635509,1.6524458520329186,0,,,,,16.193196046048055,25.0,1.573574619682853,-0.0004882970861601902,2,0.24188545,0.55431896,9.500774,7.64353
sham,V528,Reg01_z206,d3,sham_V528_Reg01_z206_d3,data_d3.mat,390,ROI390,105.0,294.0,2088,0.17024042109830523,0.0487837770699586,0.01686338079392421,0.35019132952633975,0.17331656303449727,0.3243328280021813,1,3.0,3.0,0.17687476649184247,0.17687476649184247,7.952259639670137,291.0,0.35019132952633975,-1.6177642011238048e-05,0,-0.22852069,0.7276801,1.7976174,10.232671
resp,U545,Reg01_z196,d15,resp_U545_Reg01_z196_d15,data_d15.mat,195,ROI195,421.0,816.0,2088,0.13588998409064268,0.09188518359306085,-0.025489039420124593,1.214740676427034,0.12537139344649761,0.2714754550739291,10,7.0,18.0,0.31351440476846715,1.0893692829805364,66.50740223989477,100.0,1.214740676427034,-1.2323092293281899e-05,0,-0.1385568,-0.033935882,5.9521646,2.368408
resp,T649,Reg01_z256,d9,resp_T649_Reg01_z256_d9,data_d9.mat,264,ROI264,982.0,102.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,-3.8349776,-17.406096
inh,U413,Reg03_z267,d9,inh_U413_Reg03_z267_d9,data_d9.mat,107,ROI107,810.0,984.0,2088,0.137197785876086,0.07163688638899879,-0.03975141471082263,0.7631332826810052,0.13357438792541979,0.30579452528536244,7,7.0,11.0,0.2883205728937378,0.6295588947555855,50.909428108963056,1600.0,0.7631332826810052,2.7172977891799277e-06,0,-0.17438695,0.1457261,4.3142114,3.3031669
inh,U872,Reg01_z208,d11,inh_U872_Reg01_z208_d11,data_d11.mat,182,ROI182,635.0,230.0,2088,0.16450858974459284,0.09780639655673787,-0.29786653752373715,0.5731037519359392,0.17879734831275979,0.33369307192467507,7,7.285714285714286,12.0,0.2836477314157912,0.3943064036231794,56.63950452839458,944.0,0.5731037519359392,-4.745193019477994e-06,0,-0.1383811,0.11802408,4.248479,3.4922638
resp,T476,Reg01_z148,d3,resp_T476_Reg01_z148_d3,data_d3.mat,142,ROI142,306.0,540.0,2088,0.31064991078789617,0.3006494900491357,-0.00416097388734848,2.26977689554333,0.19666887724812893,0.6527766132160542,11,11.0,45.0,0.8842178411255971,2.073108018295201,174.28097303040295,47.0,2.26977689554333,-0.00017029092968847299,1,0.2427907,-0.70315117,7.593451,-1.1404845
unresp,U848,Reg01_z129,d5,unresp_U848_Reg01_z129_d5,data_d5.mat,27,ROI27,240.0,924.0,2088,0.13514689043843003,0.06789891685561661,-0.023925433598729427,0.56818999023901,0.11034001136611445,0.21692171759648132,16,11.375,45.0,0.20676661048307535,0.4578499788728955,75.36100344827221,640.0,0.56818999023901,-9.632935142621017e-06,1,-0.10043609,-0.948409,11.5992985,2.0587995
unresp,U861,Reg01_z177,d11,unresp_U861_Reg01_z177_d11,data_d11.mat,119,ROI119,473.0,907.0,2088,0.19783816710012836,0.15918744642479063,-0.017377326457888923,0.8322903383638491,0.2497698784250309,0.46225653978233916,4,11.0,25.0,0.43409314448483866,0.5825204599388183,26.735000053055238,242.0,0.8322903383638491,-0.00034671677443901786,0,-0.08834694,-0.27475032,4.6025143,-0.32927755
resp,U719,Reg01_z145,d15,resp_U719_Reg01_z145_d15,data_d15.mat,192,ROI192,396.0,636.0,2088,0.2564401616241339,0.194161285483901,-0.00041406898440899114,1.8913898299299372,0.19988529109270153,0.3727927015476863,27,9.88888888888889,32.0,0.466072021966546,1.6915045388372356,164.04297027728572,1687.0,1.8913898299299372,1.9384638830812484e-05,1,0.14079511,-0.7293426,12.733518,0.91254395
sham,U413,Reg03_z182,d9,sham_U413_Reg03_z182_d9,data_d9.mat,224,ROI224,991.0,297.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,-16.506716,1.3738425
sham,V529,Reg01_z223,d15,sham_V529_Reg01_z223_d15,data_d15.mat,180,ROI180,767.0,354.0,2088,0.10863804372029276,0.03750769077843383,0.03408227354868947,0.2175467268941654,0.13900866673498755,0.23766806047410402,0,,,,,2.2619442403478134,2.0,0.2175467268941654,-6.244435206863407e-05,0,-0.2590783,0.20506157,14.090395,14.197543
inh,U411,Reg03_z198,d11,inh_U411_Reg03_z198_d11,data_d11.mat,85,ROI85,753.0,159.0,2088,0.6703357535586967,0.7090110057193971,-0.006241219412367666,2.711193503639437,0.7135746661828516,2.258422094303054,5,7.0,13.0,1.7549975868386547,1.9976188374565855,483.8209144741562,49.0,2.711193503639437,-0.00013069547598959584,2,0.9443996,0.53175664,9.724844,6.9909673
sham,U413,Reg01_z148,d3,sham_U413_Reg01_z148_d3,data_d3.mat,82,ROI82,879.0,112.0,2088,0.15672901924605145,0.09536049160079,-0.014615332521038684,0.8932826818700718,0.14164604294082145,0.2728255538835933,20,7.25,13.0,0.30895538559017716,0.7516366389292504,70.94845415866627,241.0,0.8932826818700718,-1.3578749624010228e-05,1,-0.11485437,-0.1429491,10.225551,1.3890847
sham,V528,Reg01_z147,d9,sham_V528_Reg01_z147_d9,data_d9.mat,472,ROI472,678.0,907.0,2088,0.11750626484225324,0.11933815124743806,0.0,0.38542610087351525,0.24581626814243457,0.43233671895762976,0,,,,,2.8552977201963756,56.0,0.38542610087351525,-0.0010971084208326808,0,-0.24375942,0.22089592,12.865896,10.990068
inh,U412,Reg01_z217,d3,inh_U412_Reg01_z217_d3,data_d3.mat,33,ROI33,689.0,935.0,2088,0.19764359839593865,0.2830935824175933,-0.015695037882261724,3.3263928685512463,0.17173058703824043,0.4758354674609655,11,12.0,22.0,1.2830382782349112,3.154662281513006,158.3258466513814,2051.0,3.3263928685512463,5.675396266166083e-06,1,0.14516827,-0.43905756,6.677071,-0.31930202
unresp,T652,Reg01_z112,d11,unresp_T652_Reg01_z112_d11,data_d11.mat,261,ROI261,66.0,1000.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,-3.8334525,-17.405642
